,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sentiment,transformer_sentiment
2020-12-14,14.648357716243568,14.723141857533479,14.629661235172447,14.639009475708008,5500900,0.0,0.0,0,0
2020-12-15,14.610966379471135,14.713794356035235,14.480093679891738,14.592269897460938,14062300,0.0,0.0,0,0
2020-12-16,14.667053305817404,14.723141857533479,14.517485023237581,14.639009475708008,7215800,0.0,0.0,1,0
2020-12-17,14.723142182317595,15.284024145861949,14.70444570083404,15.15315055847168,8951800,0.0,0.0,0,0
2020-12-18,15.125107294950283,15.199891436286476,15.059671394155435,15.162498474121094,7731400,0.0,0.0,0,0
2020-12-21,14.872711483853434,14.900755316496571,14.751187020403348,14.89140796661377,4495200,0.0,0.0,1,0
2020-12-22,15.321417084725779,15.648598416269797,15.293374142275741,15.499030113220215,6714400,0.0,0.0,0,0
2020-12-23,15.798165415564538,15.826210138694979,15.489680593108352,15.508377075195312,5913500,0.0,0.0,0,0
2020-12-24,15.59250913462974,15.601857375477195,15.442940847059713,15.517724990844727,1320600,0.0,0.0,0,0
2020-12-28,15.639248500974835,15.742077366941261,15.629900260160195,15.676641464233398,4239300,0.0,0.0,0,0
2020-12-29,15.798165356715876,15.798165356715876,15.583161162500724,15.667293548583984,8473700,0.0,0.0,0,0
2020-12-30,15.770122359120101,15.891645925799747,15.732729395221963,15.826210021972656,3877200,0.0,0.0,0,0
2020-12-31,15.900993513820872,15.919689995002196,15.788816409727515,15.844905853271484,3693700,0.0,0.0,0,0
2021-01-04,16.256218949457683,16.29361191459938,15.947734119017538,16.125347137451172,12597600,0.0,0.0,0,0
2021-01-05,16.190782753214823,16.517964060360693,16.190782753214823,16.499267578125,8109900,0.0,0.0,0,0
2021-01-06,16.265564221838336,16.63013843344639,16.209476567358017,16.57404899597168,9136300,0.0,0.0,0,0
2021-01-07,16.22817717344313,16.40578842163086,16.134696536873626,16.40578842163086,10272000,0.0,0.0,1,0
2021-01-08,16.891887094146934,17.396681485396236,16.84514766517715,17.37798500061035,17802400,0.0,0.0,0,0
2021-01-11,17.4621135197672,17.630378279468587,17.340588178651963,17.536897659301758,12220600,0.0,0.0,0,0
2021-01-12,17.68646759506961,17.70516407745319,17.33124334475509,17.387331008911133,10629100,0.0,0.0,0,0
2021-01-13,17.789296528049018,17.826687709953614,17.200369811847988,17.22841453552246,18409900,0.0,0.0,0,0
2021-01-14,17.35928579263511,17.434069937052165,16.957320347770445,17.0321044921875,13286100,0.0,0.0,0,0
2021-01-15,17.00405948617284,17.18167069320946,16.9292753508431,16.985363006591797,7443000,0.0,0.0,0,0
2021-01-19,16.901232372678958,16.99471299722035,16.779708808871376,16.93862533569336,7179600,0.0,0.0,0,0
2021-01-20,17.172325942063072,17.26580478326426,17.097541799305358,17.200368881225586,5408500,0.0,0.0,0,0
2021-01-21,17.191021804945798,17.200370046298044,16.966669361476075,17.013410568237305,7963400,0.0,0.0,0,0
2021-01-22,17.04145224990221,17.07884521254778,16.882535724647727,16.994712829589844,5663500,0.0,0.0,0,0
2021-01-25,16.966669316909165,17.032105223208276,16.67688096772964,16.751665115356445,6012600,0.0,0.0,0,0
2021-01-26,16.751663699229304,16.751663699229304,16.592747176082256,16.686227798461914,5472600,0.0,0.0,0,0
2021-01-27,16.499267967186544,16.723620410321143,16.30296024806679,16.331003189086914,11388300,0.0,0.0,0,0
2021-01-28,16.321654885022614,16.592748533806784,16.274915461505554,16.489919662475586,7877600,0.0,0.0,-1,0
2021-01-29,16.04121489951701,16.106650806134763,15.77946949005127,15.77946949005127,9671400,0.0,0.0,1,0
2021-02-01,16.069260699246787,16.284264916237966,15.938387094256413,16.246871948242188,5829200,0.0,0.0,0,0
2021-02-02,16.31230959145715,16.368397260281377,16.209480712783698,16.302961349487305,4119800,0.0,0.0,0,0
2021-02-03,16.452528155530455,16.592748206308777,16.349699286228834,16.499267578125,4677800,0.0,0.0,0,0
2021-02-04,16.39644066115127,16.48991950730576,16.22817588528167,16.443180084228516,4439600,0.0,0.0,0,0
2021-02-05,16.359046280199372,16.499266320287887,16.256217418737005,16.48056983947754,6952900,0.0,0.0,0,0
2021-02-08,16.817099592204745,16.835796073270927,16.648834828598236,16.78905487060547,3621600,0.0,0.0,0,0
2021-02-09,16.69557740513798,16.714272104747973,16.48057142117323,16.489919662475586,7973500,0.0,0.0,0,0
2021-02-10,16.658183509014947,16.658183509014947,16.28426279279021,16.359046936035156,13180500,0.0,0.0,0,0
2021-02-11,16.49926719691889,16.751664352285186,16.48057071511517,16.667531967163086,6324400,0.0,0.0,0,0
2021-02-12,16.732967325927067,16.97601623248177,16.723619085329435,16.891883850097656,9810300,0.0,0.0,0,0
2021-02-16,16.667528957989138,16.732964849493648,16.50861245733776,16.592744827270508,5857800,0.0,0.0,0,0
2021-02-17,16.471224481936737,16.564703326241457,16.340350890519737,16.45252799987793,8422200,0.0,0.0,0,0
2021-02-18,16.52731191962447,16.667531967163086,16.44317953450237,16.667531967163086,12267700,0.0,0.0,0,0
2021-02-19,16.695576801933065,16.817100368483658,16.68622856096846,16.770360946655273,8937800,0.0,0.0,0,0
2021-02-22,16.38709177176493,16.527311818445128,16.359047049231037,16.461875915527344,10941900,0.0,0.0,0,0
2021-02-23,16.302961400235855,16.359049069234672,16.03186773125101,16.246871948242188,8335700,0.0,0.0,0,0
2021-02-24,16.349698320316612,16.592747226037638,16.17208531555998,16.527311325073242,8022800,0.0,0.0,0,0
2021-02-25,16.40578624198484,16.555354527426708,16.162739115387755,16.25621795654297,7412800,0.0,0.0,0,0
2021-02-26,16.078608384415592,16.162740776497593,15.835559449844785,16.00382423400879,7422400,0.0,0.0,1,0
2021-03-01,16.284263060353286,16.51796373470796,16.24687009661911,16.508615493774414,7592500,0.0,0.0,0,0
2021-03-02,16.751663649747055,16.910580172424687,16.630140089108664,16.845144271850586,10306600,0.0,0.0,0,0
2021-03-03,17.209716954974947,17.396678201552625,16.929276868103017,17.25645637512207,22911800,0.0,0.0,0,0
2021-03-04,17.097540101083624,17.462112537941813,16.835794735932314,16.985363006591797,11867600,0.0,0.0,0,0
2021-03-05,17.060147266507617,17.106886682807122,16.676878347269465,17.088191986083984,8946500,0.0,0.0,0,0
2021-03-08,17.097542738477593,17.20971806727868,16.80775260925293,16.80775260925293,8450900,0.0,0.0,1,0
2021-03-09,17.237762715831895,17.415373949491805,17.172326810484066,17.387331008911133,7090100,0.0,0.0,0,0
2021-03-10,17.564943199384796,17.57428965714227,17.359285468828094,17.462114334106445,7418300,0.0,0.0,0,0
2021-03-11,17.67712014078363,17.91082083199758,17.621032474130818,17.836036682128906,5679200,0.0,0.0,0,0
2021-03-12,17.574289437398992,17.686466542026803,17.527550017217578,17.6771183013916,7452500,0.0,0.0,0,0
2021-03-15,17.677119648318993,17.910820333022304,17.62103198322872,17.901472091674805,5134500,0.0,0.0,0,0
2021-03-16,17.966907611100083,18.10712944529743,17.910819947217956,18.06973648071289,7418200,0.0,0.0,0,0
2021-03-17,17.938864901832474,17.94821314309908,17.62103183074673,17.854732513427734,9004400,0.0,0.0,-1,0
2021-03-18,17.45276669205304,17.508854355494982,17.153630109703123,17.181673049926758,9617900,0.0,0.0,0,0
2021-03-19,17.349938628365635,17.564944617027262,17.191022088743434,17.527551651000977,17303400,0.0,0.0,0,0
2021-03-22,17.723859889906812,17.92951764305217,17.574291587434633,17.826688766479492,6428000,0.0,0.0,0,0
2021-03-23,17.714512303476127,17.714512303476127,17.4808116228656,17.490158081054688,8851000,0.0,0.0,0,0
2021-03-24,17.518202648617294,17.611683276628057,17.36863435699794,17.443418502807617,8412700,0.0,0.0,0,0
2021-03-25,17.265804615750415,17.34993699841091,17.06014867091064,17.25645637512207,6647900,0.0,0.0,0,0
2021-03-26,17.32189665449029,17.499507904052734,17.106890653817825,17.499507904052734,13425300,0.0,0.0,0,0
2021-03-29,17.48081169960862,17.518202881513215,17.162978629943392,17.22841453552246,8066300,0.0,0.0,0,0
2021-03-30,17.56494286432023,17.677118185216226,17.52754990202518,17.574289321899414,7845100,0.0,0.0,0,0
